order_id,order_date,ship_date,customer_id,customer_name,segment,country,city,state,region,product_id,category,sub_category,product_name,quantity,discount,sales,profit
ORD-100016,2024-08-13,2024-08-19,CU-10205,William Garcia,Corporate,United States,Boston,Massachusetts,East,PRD-OFF-4073,Office Supplies,Storage,Storage Elite 891,7,0.4,419.44,23.75
ORD-100017,2025-11-27,2025-11-30,CU-10255,Michael Jones,Corporate,United States,Miami,Florida,South,PRD-TEC-6091,Technology,Machines,Machines Basic 548,8,0.1,6716.62,1376.18
ORD-100018,2023-01-29,2023-02-03,CU-10208,Linda Miller,Corporate,United States,Newark,New Jersey,East,PRD-FUR-3369,Furniture,Tables,Tables Classic 833,5,0.4,1447.62,-40.73
ORD-100019,2025-02-24,2025-02-26,CU-10260,Charles Miller,Corporate,United States,San Francisco,California,West,PRD-OFF-8316,Office Supplies,Labels,Labels Basic 940,1,0.4,23.6,6.67
ORD-100020,2025-09-18,2025-09-21,CU-10170,Karen Moore,Consumer,United States,Memphis,Tennessee,South,PRD-TEC-3492,Technology,Machines,Machines Executive 339,7,0.3,5255.64,226.2
ORD-100021,2025-10-11,2025-10-12,CU-10064,James Brown,Consumer,United States,Dallas,Texas,Central,PRD-TEC-5342,Technology,Copiers,Copiers Pro 839,3,0.4,492.88,118.67
ORD-100022,2024-11-24,2024-11-29,CU-10203,Jennifer Hernandez,Corporate,United States,Pittsburgh,Pennsylvania,East,PRD-TEC-8110,Technology,Copiers,Copiers Pro 732,2,0.1,840.06,187.66
ORD-100023,2023-07-21,2023-07-28,CU-10051,Sarah Rodriguez,Consumer,United States,Savannah,Georgia,South,PRD-FUR-2293,Furniture,Bookcases,Bookcases Pro 400,6,0.0,2211.69,-143.78
ORD-100024,2025-02-22,2025-02-27,CU-10123,Joseph Jackson,Corporate,United States,Atlanta,Georgia,South,PRD-TEC-6661,Technology,Accessories,Accessories Classic 361,1,0.0,467.07,-52.81
ORD-100025,2024-09-04,2024-09-10,CU-10217,David Smith,Consumer,United States,Ann Arbor,Michigan,Central,PRD-OFF-7484,Office Supplies,Art,Art Elite 342,7,0.15,423.07,-58.82
ORD-100026,2024-07-16,2024-07-17,CU-10289,Susan Hernandez,Consumer,United States,Worcester,Massachusetts,East,PRD-TEC-1645,Technology,Accessories,Accessories Deluxe 751,4,0.0,4381.38,719.09
ORD-100027,2024-09-24,2024-10-01,CU-10225,Patricia Wilson,Consumer,United States,Philadelphia,Pennsylvania,East,PRD-OFF-5210,Office Supplies,Storage,Storage Executive 279,4,0.15,227.91,60.45
ORD-100028,2025-09-13,2025-09-20,CU-10151,Karen Williams,Consumer,United States,Dallas,Texas,Central,PRD-FUR-5295,Furniture,Tables,Tables Executive 966,9,0.0,3248.18,251.39
ORD-100029,2025-02-19,2025-02-26,CU-10190,Sarah Johnson,Consumer,United States,Jersey City,New Jersey,East,PRD-TEC-1742,Technology,Accessories,Accessories Deluxe 763,2,0.3,1493.19,-136.87
ORD-100030,2023-03-18,2023-03-21,CU-10252,Karen Hernandez,Home Office,United States,New York City,New York,East,PRD-FUR-9017,Furniture,Furnishings,Furnishings Classic 479,9,0.3,2559.42,454.2
ORD-100031,2025-04-15,2025-04-18,CU-10016,John Miller,Corporate,United States,Springfield,Illinois,Central,PRD-FUR-3001,Furniture,Bookcases,Bookcases Elite 802,6,0.3,2153.74,-25.97
ORD-100032,2025-07-20,2025-07-21,CU-10108,Jessica Davis,Consumer,United States,Buffalo,New York,East,PRD-FUR-1046,Furniture,Tables,Tables Elite 949,9,0.2,1627.8,386.09
ORD-100033,2024-07-21,2024-07-28,CU-10074,John Lopez,Consumer,United States,Portland,Oregon,West,PRD-TEC-3076,Technology,Phones,Phones Standard 115,6,0.0,3116.81,-53.97
ORD-100034,2025-05-12,2025-05-17,CU-10058,John Garcia,Corporate,United States,Worcester,Massachusetts,East,PRD-TEC-1510,Technology,Phones,Phones Classic 615,4,0.15,4031.31,318.56
ORD-100035,2023-05-05,2023-05-09,CU-10205,William Garcia,Home Office,United States,Orlando,Florida,South,PRD-OFF-9692,Office Supplies,Binders,Binders Elite 429,10,0.2,156.1,6.31
ORD-100036,2024-08-26,2024-08-30,CU-10258,Karen Williams,Consumer,United States,Tampa,Florida,South,PRD-TEC-6120,Technology,Machines,Machines Executive 562,4,0.0,2512.64,15.76
ORD-100037,2024-06-06,2024-06-09,CU-10078,Jessica Smith,Consumer,United States,Miami,Florida,South,PRD-FUR-7730,Furniture,Furnishings,Furnishings Elite 862,6,0.2,3552.02,657.15
ORD-100038,2024-12-25,2025-01-01,CU-10216,Richard Jackson,Corporate,United States,Pittsburgh,Pennsylvania,East,PRD-FUR-5564,Furniture,Tables,Tables Standard 772,8,0.2,1539.89,-142.53
ORD-100039,2024-04-08,2024-04-15,CU-10219,Jennifer Martin,Consumer,United States,Philadelphia,Pennsylvania,East,PRD-OFF-1502,Office Supplies,Storage,Storage Advanced 459,1,0.0,21.47,-1.7
ORD-100040,2023-07-07,2023-07-13,CU-10271,Sarah Lee,Corporate,United States,Reno,Nevada,West,PRD-OFF-1815,Office Supplies,Paper,Paper Advanced 419,6,0.0,421.64,-30.45
ORD-100041,2023-06-17,2023-06-20,CU-10226,Charles Miller,Corporate,United States,Memphis,Tennessee,South,PRD-OFF-7475,Office Supplies,Paper,Paper Elite 453,7,0.15,493.82,-62.86
ORD-100042,2023-04-23,2023-04-24,CU-10104,Linda Rodriguez,Corporate,United States,Chicago,Illinois,Central,PRD-OFF-6802,Office Supplies,Storage,Storage Elite 107,8,0.1,181.48,18.17
ORD-100043,2023-05-28,2023-06-01,CU-10021,William Johnson,Consumer,United States,Orlando,Florida,South,PRD-OFF-3815,Office Supplies,Labels,Labels Executive 687,7,0.0,371.24,123.66
ORD-100044,2025-07-31,2025-08-07,CU-10185,William Garcia,Consumer,United States,Boston,Massachusetts,East,PRD-OFF-2251,Office Supplies,Labels,Labels Executive 636,2,0.2,65.09,15.59
ORD-100045,2025-11-11,2025-11-17,CU-10058,John Garcia,Home Office,United States,Eugene,Oregon,West,PRD-TEC-9095,Technology,Machines,Machines Deluxe 205,3,0.0,814.98,-50.06
ORD-100046,2025-08-08,2025-08-15,CU-10288,Robert Anderson,Consumer,United States,Raleigh,North Carolina,South,PRD-OFF-8404,Office Supplies,Binders,Binders Classic 552,5,0.0,365.07,1.9
ORD-100047,2023-03-19,2023-03-20,CU-10188,James Brown,Consumer,United States,Austin,Texas,Central,PRD-TEC-8792,Technology,Copiers,Copiers Classic 694,9,0.1,886.81,9.55
ORD-100048,2025-10-23,2025-10-25,CU-10031,Richard Rodriguez,Home Office,United States,Orlando,Florida,South,PRD-FUR-5634,Furniture,Tables,Tables Pro 353,8,0.2,5710.96,208.03
ORD-100049,2025-03-04,2025-03-08,CU-10173,John Rodriguez,Corporate,United States,Philadelphia,Pennsylvania,East,PRD-FUR-6082,Furniture,Furnishings,Furnishings Basic 358,10,0.0,7922.88,2443.2
ORD-100050,2025-03-13,2025-03-15,CU-10043,David Wilson,Consumer,United States,Ann Arbor,Michigan,Central,PRD-TEC-8967,Technology,Phones,Phones Executive 620,6,0.2,6860.14,2221.55
ORD-100051,2024-01-29,2024-01-31,CU-10070,Thomas Garcia,Consumer,United States,San Francisco,California,West,PRD-TEC-1715,Technology,Phones,Phones Advanced 997,10,0.0,2852.58,600.73
ORD-100052,2025-04-21,2025-04-24,CU-10121,William Thomas,Consumer,United States,Raleigh,North Carolina,South,PRD-TEC-5616,Technology,Machines,Machines Basic 928,8,0.4,4961.02,401.05
ORD-100053,2025-02-21,2025-02-26,CU-10270,Joseph Moore,Home Office,United States,Atlanta,Georgia,South,PRD-FUR-3626,Furniture,Bookcases,Bookcases Pro 756,8,0.0,6344.0,-47.38
ORD-100054,2024-07-12,2024-07-16,CU-10262,Richard Davis,Consumer,United States,Las Vegas,Nevada,West,PRD-OFF-1461,Office Supplies,Storage,Storage Pro 524,1,0.0,48.01,1.8
ORD-100055,2024-10-14,2024-10-15,CU-10171,James Jackson,Corporate,United States,Seattle,Washington,West,PRD-OFF-9647,Office Supplies,Paper,Paper Classic 559,10,0.0,141.11,17.55
ORD-100056,2025-05-16,2025-05-17,CU-10147,Linda Wilson,Consumer,United States,Portland,Oregon,West,PRD-FUR-5772,Furniture,Furnishings,Furnishings Classic 164,2,0.1,1370.13,286.73
ORD-100057,2025-05-29,2025-05-30,CU-10180,Jessica Rodriguez,Home Office,United States,Las Vegas,Nevada,West,PRD-TEC-8702,Technology,Phones,Phones Advanced 169,9,0.0,7074.47,319.96
ORD-100058,2023-03-31,2023-04-06,CU-10198,Barbara Jackson,Corporate,United States,Columbus,Ohio,Central,PRD-FUR-6546,Furniture,Bookcases,Bookcases Deluxe 850,2,0.0,1411.55,36.91
ORD-100059,2023-12-25,2024-01-01,CU-10237,Elizabeth Jackson,Consumer,United States,Atlanta,Georgia,South,PRD-TEC-9897,Technology,Copiers,Copiers Pro 400,4,0.15,376.6,40.56
ORD-100060,2025-08-27,2025-08-30,CU-10018,Robert Wilson,Consumer,United States,Eugene,Oregon,West,PRD-TEC-4060,Technology,Accessories,Accessories Basic 227,6,0.3,2888.0,56.37
ORD-100061,2025-10-13,2025-10-19,CU-10254,Elizabeth Davis,Home Office,United States,Columbus,Ohio,Central,PRD-OFF-7981,Office Supplies,Binders,Binders Executive 716,3,0.15,106.95,0.35
ORD-100062,2023-12-08,2023-12-14,CU-10227,William Johnson,Home Office,United States,Detroit,Michigan,Central,PRD-OFF-3339,Office Supplies,Labels,Labels Executive 381,1,0.0,78.31,25.56
ORD-100063,2025-06-16,2025-06-17,CU-10064,James Brown,Corporate,United States,Jersey City,New Jersey,East,PRD-OFF-9674,Office Supplies,Labels,Labels Pro 719,3,0.0,342.34,46.89
ORD-100064,2025-01-21,2025-01-25,CU-10160,James Thomas,Consumer,United States,Chicago,Illinois,Central,PRD-TEC-5678,Technology,Machines,Machines Classic 630,7,0.4,4929.53,-210.56
ORD-100065,2025-10-02,2025-10-04,CU-10062,Joseph Moore,Consumer,United States,San Francisco,California,West,PRD-TEC-3580,Technology,Copiers,Copiers Elite 929,6,0.15,4322.23,1277.94
ORD-100066,2023-12-23,2023-12-30,CU-10185,William Garcia,Consumer,United States,Los Angeles,California,West,PRD-FUR-2412,Furniture,Furnishings,Furnishings Pro 469,9,0.0,4827.92,753.03
ORD-100067,2023-05-15,2023-05-18,CU-10203,Jennifer Hernandez,Home Office,United States,Memphis,Tennessee,South,PRD-FUR-3114,Furniture,Tables,Tables Advanced 757,2,0.0,864.96,202.31
ORD-100068,2025-06-05,2025-06-10,CU-10028,Mary Davis,Consumer,United States,Jersey City,New Jersey,East,PRD-FUR-5961,Furniture,Bookcases,Bookcases Deluxe 454,9,0.15,6201.76,-542.13
ORD-100069,2025-12-28,2025-12-29,CU-10257,Linda Taylor,Home Office,United States,Seattle,Washington,West,PRD-TEC-7825,Technology,Accessories,Accessories Pro 945,1,0.15,992.79,174.3
ORD-100070,2023-03-04,2023-03-08,CU-10279,Jessica Davis,Consumer,United States,Cleveland,Ohio,Central,PRD-TEC-3353,Technology,Copiers,Copiers Basic 564,2,0.4,783.18,-37.58
ORD-100071,2024-10-02,2024-10-09,CU-10163,Sarah Miller,Corporate,United States,Detroit,Michigan,Central,PRD-TEC-7293,Technology,Phones,Phones Advanced 347,8,0.0,2034.18,-9.96
ORD-100072,2025-05-06,2025-05-08,CU-10081,Mary Davis,Consumer,United States,Columbus,Ohio,Central,PRD-OFF-4524,Office Supplies,Labels,Labels Classic 610,5,0.4,46.07,15.36
ORD-100073,2024-12-23,2024-12-24,CU-10025,Elizabeth Lee,Corporate,United States,Ann Arbor,Michigan,Central,PRD-TEC-1838,Technology,Phones,Phones Elite 541,3,0.2,2778.22,-353.89
ORD-100074,2024-02-03,2024-02-06,CU-10283,David Hernandez,Home Office,United States,Dallas,Texas,Central,PRD-OFF-6555,Office Supplies,Labels,Labels Basic 945,10,0.3,130.64,4.78
ORD-100075,2025-01-18,2025-01-25,CU-10073,Karen Miller,Consumer,United States,Las Vegas,Nevada,West,PRD-FUR-6218,Furniture,Tables,Tables Advanced 923,8,0.0,3931.46,54.97
ORD-100076,2023-11-29,2023-12-03,CU-10153,Charles Moore,Corporate,United States,Ann Arbor,Michigan,Central,PRD-FUR-5350,Furniture,Bookcases,Bookcases Advanced 789,2,0.0,1765.83,262.15
ORD-100077,2024-04-11,2024-04-17,CU-10026,Barbara Martin,Consumer,United States,Savannah,Georgia,South,PRD-TEC-7723,Technology,Machines,Machines Pro 686,2,0.3,920.12,179.65
ORD-100078,2025-10-24,2025-10-31,CU-10241,Charles Martinez,Home Office,United States,Newark,New Jersey,East,PRD-OFF-4150,Office Supplies,Art,Art Executive 421,3,0.15,169.09,26.22
ORD-100079,2024-05-19,2024-05-22,CU-10285,John Jones,Corporate,United States,Springfield,Illinois,Central,PRD-TEC-9899,Technology,Machines,Machines Classic 424,8,0.15,8182.7,-49.96
ORD-100080,2025-02-16,2025-02-20,CU-10176,William Martinez,Corporate,United States,Portland,Oregon,West,PRD-TEC-5450,Technology,Phones,Phones Advanced 552,5,0.15,5314.75,1682.18
ORD-100081,2023-10-09,2023-10-10,CU-10122,Linda Williams,Home Office,United States,San Diego,California,West,PRD-FUR-3587,Furniture,Tables,Tables Pro 202,7,0.0,2315.25,-341.29
ORD-100082,2025-04-13,2025-04-19,CU-10243,James Martinez,Corporate,United States,Savannah,Georgia,South,PRD-OFF-3868,Office Supplies,Binders,Binders Elite 767,10,0.0,899.49,275.8
ORD-100083,2025-05-05,2025-05-12,CU-10090,Sarah Miller,Consumer,United States,Worcester,Massachusetts,East,PRD-TEC-9901,Technology,Accessories,Accessories Pro 109,5,0.15,6270.2,483.9
ORD-100084,2025-12-09,2025-12-13,CU-10068,Jennifer Thomas,Consumer,United States,Charlotte,North Carolina,South,PRD-OFF-4164,Office Supplies,Paper,Paper Classic 763,5,0.15,28.13,3.77
ORD-100085,2023-12-26,2023-12-31,CU-10207,Mary Taylor,Corporate,United States,Charlotte,North Carolina,South,PRD-TEC-5374,Technology,Phones,Phones Standard 243,8,0.1,3082.6,226.16
ORD-100086,2024-11-06,2024-11-09,CU-10298,Susan Jackson,Home Office,United States,Pittsburgh,Pennsylvania,East,PRD-FUR-5833,Furniture,Chairs,Chairs Elite 576,5,0.15,789.48,154.06
ORD-100087,2025-01-22,2025-01-27,CU-10113,Susan Thomas,Consumer,United States,Spokane,Washington,West,PRD-OFF-2341,Office Supplies,Labels,Labels Advanced 525,9,0.1,745.97,172.27
ORD-100088,2025-12-12,2025-12-16,CU-10270,Joseph Moore,Consumer,United States,Austin,Texas,Central,PRD-FUR-9361,Furniture,Tables,Tables Standard 268,6,0.4,2794.73,-292.13
ORD-100089,2025-07-01,2025-07-08,CU-10028,Mary Davis,Corporate,United States,Savannah,Georgia,South,PRD-TEC-1742,Technology,Phones,Phones Classic 788,5,0.1,5552.36,772.64
ORD-100090,2025-05-17,2025-05-20,CU-10032,Joseph Lopez,Consumer,United States,Buffalo,New York,East,PRD-OFF-7266,Office Supplies,Art,Art Standard 887,3,0.3,246.77,9.19
ORD-100091,2025-07-07,2025-07-14,CU-10193,Susan Jones,Home Office,United States,Tampa,Florida,South,PRD-TEC-1372,Technology,Machines,Machines Advanced 221,3,0.1,633.56,169.42
ORD-100092,2024-09-03,2024-09-07,CU-10278,William Moore,Consumer,United States,Nashville,Tennessee,South,PRD-OFF-1256,Office Supplies,Storage,Storage Standard 382,4,0.3,247.46,38.97
ORD-100093,2024-05-07,2024-05-09,CU-10034,Barbara Miller,Home Office,United States,Buffalo,New York,East,PRD-TEC-5739,Technology,Phones,Phones Deluxe 858,1,0.0,365.04,-29.18
ORD-100094,2024-04-24,2024-05-01,CU-10294,James Martin,Corporate,United States,Columbus,Ohio,Central,PRD-FUR-7999,Furniture,Tables,Tables Executive 407,5,0.0,509.07,82.98
ORD-100095,2025-10-12,2025-10-13,CU-10176,William Martinez,Corporate,United States,Raleigh,North Carolina,South,PRD-FUR-1944,Furniture,Bookcases,Bookcases Executive 288,9,0.0,4072.42,1029.87
ORD-100096,2025-04-25,2025-04-29,CU-10285,John Jones,Corporate,United States,Las Vegas,Nevada,West,PRD-FUR-1647,Furniture,Bookcases,Bookcases Elite 560,6,0.15,655.83,25.3
ORD-100097,2023-05-30,2023-06-01,CU-10286,Linda Wilson,Corporate,United States,Las Vegas,Nevada,West,PRD-OFF-4921,Office Supplies,Binders,Binders Deluxe 294,2,0.1,165.15,7.98
ORD-100098,2024-10-20,2024-10-27,CU-10144,Thomas Williams,Corporate,United States,Memphis,Tennessee,South,PRD-OFF-7073,Office Supplies,Storage,Storage Classic 577,2,0.2,140.92,43.29
ORD-100099,2024-10-02,2024-10-06,CU-10023,Patricia Wilson,Corporate,United States,Seattle,Washington,West,PRD-TEC-6530,Technology,Copiers,Copiers Basic 256,4,0.4,3020.1,378.48
ORD-100100,2024-06-11,2024-06-18,CU-10250,Jennifer Williams,Home Office,United States,Nashville,Tennessee,South,PRD-OFF-2217,Office Supplies,Paper,Paper Standard 837,9,0.0,993.99,111.3
ORD-100101,2023-04-10,2023-04-17,CU-10003,Patricia Jackson,Consumer,United States,Atlanta,Georgia,South,PRD-TEC-1257,Technology,Machines,Machines Pro 323,9,0.4,5263.41,945.53
ORD-100102,2023-01-14,2023-01-19,CU-10282,Linda Rodriguez,Home Office,United States,Miami,Florida,South,PRD-TEC-2578,Technology,Accessories,Accessories Basic 117,9,0.0,10970.49,-1058.56
ORD-100103,2025-12-09,2025-12-11,CU-10123,Joseph Jackson,Corporate,United States,Eugene,Oregon,West,PRD-OFF-1519,Office Supplies,Binders,Binders Advanced 515,8,0.0,951.01,168.2
ORD-100104,2023-07-11,2023-07-15,CU-10194,Mary Martinez,Home Office,United States,Nashville,Tennessee,South,PRD-FUR-1697,Furniture,Tables,Tables Elite 611,7,0.0,4187.2,1245.25
ORD-100105,2024-04-15,2024-04-17,CU-10290,Sarah Thomas,Consumer,United States,Charlotte,North Carolina,South,PRD-TEC-5903,Technology,Accessories,Accessories Pro 283,6,0.3,1088.13,342.15
ORD-100106,2023-11-29,2023-12-04,CU-10123,Joseph Jackson,Home Office,United States,Raleigh,North Carolina,South,PRD-FUR-6347,Furniture,Chairs,Chairs Advanced 154,2,0.3,590.14,197.38
ORD-100107,2023-03-02,2023-03-08,CU-10139,Mary Hernandez,Corporate,United States,Nashville,Tennessee,South,PRD-TEC-2344,Technology,Copiers,Copiers Executive 290,10,0.1,8522.94,1760.45
ORD-100108,2024-07-02,2024-07-04,CU-10194,Mary Martinez,Corporate,United States,Reno,Nevada,West,PRD-FUR-9395,Furniture,Chairs,Chairs Pro 415,8,0.0,2847.44,186.48
ORD-100109,2025-04-15,2025-04-16,CU-10013,William Smith,Home Office,United States,Philadelphia,Pennsylvania,East,PRD-TEC-3778,Technology,Accessories,Accessories Executive 112,5,0.1,4954.61,673.73
ORD-100110,2025-02-18,2025-02-20,CU-10071,Thomas Brown,Corporate,United States,Cleveland,Ohio,Central,PRD-FUR-9123,Furniture,Chairs,Chairs Standard 545,5,0.15,1733.73,558.45
ORD-100111,2024-02-05,2024-02-09,CU-10054,Barbara Davis,Corporate,United States,Portland,Oregon,West,PRD-OFF-4290,Office Supplies,Labels,Labels Executive 923,6,0.0,327.13,0.07
ORD-100112,2025-09-08,2025-09-11,CU-10090,Sarah Miller,Home Office,United States,Raleigh,North Carolina,South,PRD-TEC-9939,Technology,Copiers,Copiers Deluxe 433,7,0.1,3649.42,533.23
ORD-100113,2024-01-04,2024-01-10,CU-10281,Robert Martinez,Corporate,United States,Boston,Massachusetts,East,PRD-OFF-7176,Office Supplies,Binders,Binders Executive 789,8,0.0,318.61,66.15
ORD-100114,2023-06-01,2023-06-05,CU-10245,Susan Martin,Corporate,United States,Nashville,Tennessee,South,PRD-TEC-7547,Technology,Phones,Phones Elite 887,4,0.0,3952.6,520.2
ORD-100115,2024-11-10,2024-11-17,CU-10220,William Johnson,Corporate,United States,New York City,New York,East,PRD-FUR-1402,Furniture,Tables,Tables Classic 483,7,0.0,3105.23,69.82
ORD-100116,2025-09-15,2025-09-16,CU-10151,Karen Williams,Home Office,United States,Miami,Florida,South,PRD-FUR-8412,Furniture,Bookcases,Bookcases Basic 451,8,0.0,5733.04,396.06
ORD-100117,2024-10-15,2024-10-16,CU-10153,Charles Moore,Corporate,United States,New York City,New York,East,PRD-TEC-4798,Technology,Phones,Phones Standard 858,4,0.3,1483.82,488.52
ORD-100118,2025-04-09,2025-04-15,CU-10094,Patricia Davis,Consumer,United States,Reno,Nevada,West,PRD-TEC-9796,Technology,Machines,Machines Classic 706,7,0.0,2438.71,338.19
ORD-100119,2024-01-18,2024-01-21,CU-10166,Robert Davis,Corporate,United States,Las Vegas,Nevada,West,PRD-TEC-5873,Technology,Copiers,Copiers Advanced 711,7,0.4,2328.86,369.55
ORD-100120,2023-06-23,2023-06-29,CU-10068,Jennifer Thomas,Corporate,United States,Houston,Texas,Central,PRD-FUR-8973,Furniture,Tables,Tables Advanced 810,3,0.3,1016.82,62.55
ORD-100121,2023-12-21,2023-12-26,CU-10085,John Jones,Consumer,United States,Charlotte,North Carolina,South,PRD-OFF-9281,Office Supplies,Art,Art Pro 986,6,0.3,255.07,84.66
ORD-100122,2025-10-10,2025-10-14,CU-10251,Elizabeth Moore,Consumer,United States,Memphis,Tennessee,South,PRD-FUR-9115,Furniture,Chairs,Chairs Deluxe 399,1,0.4,170.17,22.6
ORD-100123,2025-11-12,2025-11-13,CU-10293,Richard Martin,Home Office,United States,Pittsburgh,Pennsylvania,East,PRD-FUR-6711,Furniture,Furnishings,Furnishings Deluxe 535,2,0.0,1351.18,101.16
ORD-100124,2023-06-28,2023-07-02,CU-10060,Robert Wilson,Home Office,United States,Spokane,Washington,West,PRD-TEC-9827,Technology,Copiers,Copiers Standard 730,3,0.2,2922.93,339.47
ORD-100125,2023-12-11,2023-12-14,CU-10149,Linda Martin,Consumer,United States,Columbus,Ohio,Central,PRD-OFF-7434,Office Supplies,Binders,Binders Basic 987,3,0.2,48.62,12.85
ORD-100126,2025-09-29,2025-10-01,CU-10295,Richard Taylor,Corporate,United States,Ann Arbor,Michigan,Central,PRD-FUR-1040,Furniture,Chairs,Chairs Executive 627,5,0.4,1921.49,26.22
ORD-100127,2023-07-10,2023-07-16,CU-10234,Elizabeth Moore,Corporate,United States,Austin,Texas,Central,PRD-FUR-8951,Furniture,Furnishings,Furnishings Deluxe 606,5,0.0,1622.18,215.87
ORD-100128,2024-12-04,2024-12-10,CU-10024,Robert Jackson,Consumer,United States,Buffalo,New York,East,PRD-FUR-5945,Furniture,Tables,Tables Classic 567,1,0.0,893.06,259.95
ORD-100129,2023-11-22,2023-11-29,CU-10140,Mary Johnson,Consumer,United States,Pittsburgh,Pennsylvania,East,PRD-OFF-1017,Office Supplies,Paper,Paper Pro 505,5,0.0,459.26,92.7
ORD-100130,2024-03-13,2024-03-17,CU-10039,Richard Rodriguez,Consumer,United States,Spokane,Washington,West,PRD-FUR-2678,Furniture,Bookcases,Bookcases Elite 980,7,0.0,4479.48,964.8
ORD-100131,2023-07-31,2023-08-03,CU-10188,James Brown,Consumer,United States,Springfield,Illinois,Central,PRD-TEC-3480,Technology,Machines,Machines Elite 643,10,0.1,6193.3,1015.95
ORD-100132,2025-04-23,2025-04-28,CU-10226,Charles Miller,Consumer,United States,Los Angeles,California,West,PRD-FUR-5668,Furniture,Furnishings,Furnishings Advanced 539,6,0.1,3901.04,494.26
ORD-100133,2023-02-24,2023-03-03,CU-10154,David Rodriguez,Corporate,United States,Spokane,Washington,West,PRD-TEC-6185,Technology,Phones,Phones Deluxe 606,7,0.0,6378.39,2190.6
ORD-100134,2023-09-28,2023-10-02,CU-10291,Susan Johnson,Corporate,United States,Charlotte,North Carolina,South,PRD-FUR-9209,Furniture,Chairs,Chairs Elite 114,5,0.3,816.84,84.38
ORD-100135,2025-04-30,2025-05-04,CU-10205,William Garcia,Consumer,United States,Jersey City,New Jersey,East,PRD-OFF-8167,Office Supplies,Binders,Binders Deluxe 927,3,0.0,149.8,0.76
ORD-100136,2024-05-03,2024-05-04,CU-10125,Sarah Smith,Corporate,United States,Boston,Massachusetts,East,PRD-TEC-6680,Technology,Phones,Phones Basic 782,3,0.0,3201.52,314.41
